Code,Date,Time,Price,MatchItems,BSFlag,AccVolume,AccTurover,High,Low,Open,Close,PreClose,IOPV,NAV,ChangePCT1,ChangePCT2,PE1,PE2,TradingPhaseCode,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5
000004.SZ1,20130104,91552250,0.0000,0,,0,0.0000,0.0000,0.0000,0.0000,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.1800,0.0000,0.0000,0.0000,0.0000,1100,1100,0,0,0,8.1800,0.0000,0.0000,0.0000,0.0000,1100,0,0,0,0
000004.SZ1,20130104,91815020,0.0000,0,S,0,0.0000,0.0000,0.0000,0.0000,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.1800,0.0000,0.0000,0.0000,0.0000,2200,0,0,0,0,8.1800,0.0000,0.0000,0.0000,0.0000,2200,9100,0,0,0
000004.SZ1,20130104,91825430,0.0000,0,S,0,0.0000,0.0000,0.0000,0.0000,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.1900,0.0000,0.0000,0.0000,0.0000,3200,1500,0,0,0,8.1900,0.0000,0.0000,0.0000,0.0000,3200,0,0,0,0
000004.SZ1,20130104,92143670,0.0000,0,S,0,0.0000,0.0000,0.0000,0.0000,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.1800,0.0000,0.0000,0.0000,0.0000,5100,0,0,0,0,8.1800,0.0000,0.0000,0.0000,0.0000,5100,13400,0,0,0
000004.SZ1,20130104,92259030,0.0000,0,S,0,0.0000,0.0000,0.0000,0.0000,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.1800,0.0000,0.0000,0.0000,0.0000,5100,0,0,0,0,8.1800,0.0000,0.0000,0.0000,0.0000,5100,14100,0,0,0
000004.SZ1,20130104,92325300,0.0000,0,S,0,0.0000,0.0000,0.0000,0.0000,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.1900,0.0000,0.0000,0.0000,0.0000,5100,0,0,0,0,8.1900,0.0000,0.0000,0.0000,0.0000,5100,0,0,0,0
000004.SZ1,20130104,92500770,8.1900,5,B,5100,41769.0000,8.1900,8.1900,8.1900,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.1900,8.2100,8.2400,8.2600,8.2800,3000,200,2500,10000,2400,8.1800,8.1700,8.1600,8.1500,8.1400,16100,1900,3000,5000,5600
000004.SZ1,20130104,93005060,8.1900,11,B,8100,66339.0000,8.1900,8.1900,8.1900,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.2100,8.2400,8.2600,8.2800,8.2900,200,2500,10000,2400,5000,8.2000,8.1900,8.1800,8.1700,8.1600,900,137100,17500,1900,13000
000004.SZ1,20130104,93007660,8.1900,11,S,8100,66339.0000,8.1900,8.1900,8.1900,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.2100,8.2400,8.2600,8.2800,8.2900,200,2500,10000,2400,5000,8.2000,8.1900,8.1800,8.1700,8.1600,900,137100,17500,1900,13000
000004.SZ1,20130104,93016740,8.1900,11,S,8100,66339.0000,8.1900,8.1900,8.1900,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.2100,8.2400,8.2600,8.2800,8.2900,200,2500,10000,2400,5000,8.2000,8.1900,8.1800,8.1700,8.1600,900,137100,17500,1900,13000
000004.SZ1,20130104,93022850,8.1900,11,S,8100,66339.0000,8.1900,8.1900,8.1900,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.2100,8.2400,8.2600,8.2800,8.2900,200,2500,10000,2400,5000,8.2000,8.1900,8.1800,8.1700,8.1600,900,137100,17500,1900,13000
000004.SZ1,20130104,93030410,8.1900,11,S,8100,66339.0000,8.1900,8.1900,8.1900,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.2100,8.2400,8.2600,8.2800,8.2900,200,2500,10000,2400,5000,8.2000,8.1900,8.1800,8.1700,8.1600,900,137100,17500,1900,13000
000004.SZ1,20130104,93039470,8.1900,11,S,8100,66339.0000,8.1900,8.1900,8.1900,0.0000,8.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,8.2100,8.2400,8.2600,8.2800,8.2900,200,2500,10000,2400,5000,8.2000,8.1900,8.1800,8.1700,8.1600,900,137100,17500,1900,13000
