Code,Date,Time,Price,MatchItems,BSFlag,AccVolume,AccTurover,High,Low,Open,Close,PreClose,IOPV,NAV,ChangePCT1,ChangePCT2,PE1,PE2,TradingPhaseCode,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5
000003.SH1,20130104,92503000,246.6762,255,,702100,2859000.0000,246.6762,246.6762,246.6762,0.0000,244.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
000003.SH1,20130104,93001000,247.1411,255,,1272600,5802100.0000,247.1411,246.6604,246.6762,0.0000,244.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
000003.SH1,20130104,93009000,246.8866,575,,1340700,6164000.0000,247.1411,246.6604,246.6762,0.0000,244.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
000003.SH1,20130104,93013000,247.3973,587,,1412800,6540600.0000,247.3973,246.6604,246.6762,0.0000,244.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
000003.SH1,20130104,93019000,247.3973,631,,1414500,6558300.0000,247.3973,246.6604,246.6762,0.0000,244.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
000003.SH1,20130104,93025000,247.4238,660,,1446200,6801300.0000,247.4303,246.6604,246.6762,0.0000,244.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
000003.SH1,20130104,93031000,247.2783,675,,1481600,6956200.0000,247.4303,246.6604,246.6762,0.0000,244.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
000003.SH1,20130104,93033000,247.2559,677,,1494600,7027100.0000,247.4303,246.6604,246.6762,0.0000,244.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
000003.SH1,20130104,93039000,247.2605,687,,1509600,7120800.0000,247.4303,246.6604,246.6762,0.0000,244.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
000003.SH1,20130104,93045000,247.0352,709,,1525000,7223300.0000,247.4303,246.6604,246.6762,0.0000,244.9150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0
