Code,Date,Time,Open,High,Low,Close,Volume,Turnover,MatchItems,Interest
000004.SZ1,20130104,93000,8.1900,8.1900,8.1900,8.1900,5100,41769.0000,5,0
000004.SZ1,20130104,94000,8.1900,8.2600,8.1900,8.2200,69500,572817.0000,34,0
000004.SZ1,20130104,95000,8.2100,8.2100,8.1800,8.1900,49900,408707.0000,30,0
000004.SZ1,20130104,100000,8.1900,8.2000,8.1800,8.1900,62590,512586.0000,36,0
000004.SZ1,20130104,101000,8.1800,8.1800,8.1600,8.1700,48910,399863.0000,30,0
000004.SZ1,20130104,102000,8.1700,8.1700,8.1500,8.1700,30200,246317.0000,30,0
000004.SZ1,20130104,103000,8.1700,8.1800,8.1600,8.1600,8000,65307.0000,13,0
000004.SZ1,20130104,104000,8.1600,8.2000,8.1400,8.1500,89299,729293.0000,53,0
000004.SZ1,20130104,105000,8.1500,8.1500,8.1400,8.1500,25700,209443.0000,19,0
000004.SZ1,20130104,110000,8.1500,8.2000,8.1500,8.2000,33700,275522.0000,17,0
000004.SZ1,20130104,111000,8.2000,8.2000,8.1600,8.1800,10400,84984.0000,8,0
000004.SZ1,20130104,112000,8.1800,8.1800,8.1400,8.1400,25600,208606.0000,29,0
000004.SZ1,20130104,113000,8.1400,8.1500,8.1200,8.1400,16900,137429.0000,19,0
000004.SZ1,20130104,131000,8.1400,8.1500,8.1300,8.1500,44750,364268.0000,12,0
000004.SZ1,20130104,132000,8.1500,8.1500,8.1300,8.1300,10750,87460.0000,11,0
000004.SZ1,20130104,133000,8.1400,8.1500,8.1200,8.1500,32494,264512.0000,27,0
000004.SZ1,20130104,134000,8.1500,8.1700,8.1500,8.1600,19200,156768.0000,12,0
000004.SZ1,20130104,135000,8.1600,8.1600,8.1500,8.1600,4000,32612.0000,3,0
000004.SZ1,20130104,140000,8.1600,8.1800,8.1600,8.1700,61100,498833.0000,17,0
000004.SZ1,20130104,141000,8.1700,8.1800,8.1600,8.1700,21500,175775.0000,14,0
000004.SZ1,20130104,142000,8.1700,8.1800,8.1700,8.1700,8600,70308.0000,7,0
000004.SZ1,20130104,143000,8.1700,8.1700,8.1300,8.1400,93000,758116.0000,31,0
000004.SZ1,20130104,144000,8.1400,8.1700,8.1200,8.1300,122200,994425.0000,52,0
000004.SZ1,20130104,145000,8.1300,8.1800,8.1300,8.1500,46209,376417.0000,21,0
000004.SZ1,20130104,150000,8.1500,8.1500,8.1200,8.1200,26000,211308.0000,31,0
