Code,Date,Time,Open,High,Low,Close,Volume,Turnover,MatchItems,Interest
000002.SH1,20130104,93000,2397.4017,2397.4017,2397.4017,2397.4017,119567400,953162800.0000,40216,0
000002.SH1,20130104,94000,2400.6331,2403.7347,2393.0495,2393.1856,1596332700,13369897500.0000,536589,0
000002.SH1,20130104,95000,2392.4550,2392.7393,2387.6750,2388.4618,872694300,7439202700.0000,323059,0
000002.SH1,20130104,100000,2389.0944,2396.7164,2388.6588,2395.7448,837033800,7105265100.0000,304490,0
000002.SH1,20130104,101000,2396.6012,2396.6193,2391.5020,2392.3780,783957700,6844672400.0000,290785,0
000002.SH1,20130104,102000,2391.6790,2392.3218,2387.9808,2391.6673,662187700,5586945700.0000,245902,0
000002.SH1,20130104,103000,2391.2055,2395.2783,2390.1945,2391.1355,643246900,5133393300.0000,232945,0
000002.SH1,20130104,104000,2390.7352,2390.7352,2376.7591,2379.6769,826745400,6561025300.0000,339716,0
000002.SH1,20130104,105000,2379.3533,2384.0258,2378.4264,2383.6505,424308200,3447224700.0000,171088,0
000002.SH1,20130104,110000,2383.2444,2384.2981,2379.2558,2379.6416,382516300,3198177200.0000,145148,0
000002.SH1,20130104,111000,2378.9027,2380.4078,2376.2286,2377.0334,432607700,3504319100.0000,171181,0
000002.SH1,20130104,112000,2376.7222,2376.7222,2362.7948,2364.9855,666910900,5164388500.0000,274831,0
000002.SH1,20130104,113000,2369.7001,2371.5909,2367.7990,2370.5737,358167100,2876359400.0000,142685,0
000002.SH1,20130104,131000,2370.6216,2379.1854,2368.9316,2377.0664,396092000,3244139000.0000,172345,0
000002.SH1,20130104,132000,2377.7096,2379.4652,2375.8781,2376.9875,261669700,2273945100.0000,113087,0
000002.SH1,20130104,133000,2377.4556,2381.1459,2375.2110,2380.5866,284921000,2417457300.0000,119748,0
000002.SH1,20130104,134000,2380.6980,2383.4800,2378.7120,2382.9798,345721700,3019909700.0000,138637,0
000002.SH1,20130104,135000,2382.6618,2383.0191,2380.4708,2382.2547,364480000,3121780200.0000,145138,0
000002.SH1,20130104,140000,2382.0503,2384.3067,2381.4317,2383.3487,357787900,2937521200.0000,143288,0
000002.SH1,20130104,141000,2383.9981,2390.7470,2383.2489,2388.8795,527381600,4223700500.0000,193996,0
000002.SH1,20130104,142000,2388.2692,2393.6427,2387.7300,2393.4009,507625400,4090210800.0000,187981,0
000002.SH1,20130104,143000,2394.1414,2394.5246,2388.8187,2388.8187,556139100,4471971400.0000,205591,0
000002.SH1,20130104,144000,2390.0581,2390.0581,2383.0111,2384.4701,495189200,3943052900.0000,187481,0
000002.SH1,20130104,145000,2384.4413,2386.6598,2382.6770,2385.7965,457244800,3739138500.0000,182891,0
000002.SH1,20130104,150000,2385.1576,2386.1044,2382.9094,2384.1888,684874900,5412302000.0000,278941,0
