Code,Date,Time,Open,High,Low,Close,Volume,Turnover,MatchItems,Interest
000003.SH1,20130104,93000,246.6762,246.6762,246.6762,246.6762,702100,2859000.0000,255,0
000003.SH1,20130104,94000,247.1411,247.6491,246.8866,246.9043,6719400,33269100.0000,2780,0
000003.SH1,20130104,95000,246.9876,246.9876,246.1541,246.2198,6455000,34913500.0000,2636,0
000003.SH1,20130104,100000,246.2153,247.5182,246.2153,247.5182,5113100,30924000.0000,2226,0
000003.SH1,20130104,101000,247.6372,248.2534,247.3740,248.1632,6688900,35871700.0000,2652,0
000003.SH1,20130104,102000,248.1559,248.2368,247.7363,248.0110,4938900,29532700.0000,2489,0
000003.SH1,20130104,103000,247.9647,248.3121,247.7796,248.2436,4452600,27195100.0000,2086,0
000003.SH1,20130104,104000,248.2501,248.2737,247.2417,247.7527,6795600,38595100.0000,2878,0
000003.SH1,20130104,105000,247.6904,247.8323,247.3562,247.5726,4061500,22026700.0000,1723,0
000003.SH1,20130104,110000,247.5567,247.6643,247.2909,247.3622,3073900,19274200.0000,1557,0
000003.SH1,20130104,111000,247.3962,247.5080,247.1263,247.2817,3153200,15753100.0000,1451,0
000003.SH1,20130104,112000,247.2106,247.2106,245.8018,245.8774,6307600,33456100.0000,2566,0
000003.SH1,20130104,113000,245.8794,246.5320,245.7967,246.5320,4508100,22162100.0000,1807,0
000003.SH1,20130104,131000,246.2985,246.5754,246.1910,246.4100,3879700,19052400.0000,1937,0
000003.SH1,20130104,132000,246.4233,246.6428,246.2467,246.6217,2167700,11479900.0000,1149,0
000003.SH1,20130104,133000,246.6613,246.6613,246.2352,246.4817,2674600,14348900.0000,1359,0
000003.SH1,20130104,134000,246.4937,246.8001,246.4044,246.7591,2639000,12993400.0000,1332,0
000003.SH1,20130104,135000,246.7205,246.9391,246.7176,246.9391,2158900,10756100.0000,1183,0
000003.SH1,20130104,140000,246.9412,247.0670,246.9001,246.9897,2268500,12174400.0000,1204,0
000003.SH1,20130104,141000,247.0049,247.4327,246.9365,247.4327,2711400,13778300.0000,1389,0
000003.SH1,20130104,142000,247.4344,247.7745,247.4296,247.7745,3152300,16537700.0000,1573,0
000003.SH1,20130104,143000,247.7745,247.8230,247.6599,247.7727,3960900,22820500.0000,1765,0
000003.SH1,20130104,144000,247.7427,247.7909,247.2022,247.3391,3977500,19726400.0000,1836,0
000003.SH1,20130104,145000,247.4025,247.4156,247.2567,247.3347,3974700,20639400.0000,1704,0
000003.SH1,20130104,150000,247.2619,247.7420,247.1597,247.4962,5054600,28461800.0000,2264,0
