Code,Date,Time,Open,High,Low,Close,Volume,Turnover,MatchItems,Interest
000002.SH1,20130104,93000,2397.4017,2397.4017,2397.4017,2397.4017,119567400,953162800.0000,40216,0
000002.SH1,20130104,93100,2400.6331,2402.5154,2398.7033,2398.7033,327799800,2633417900.0000,104370,0
000002.SH1,20130104,93200,2397.7663,2401.2135,2397.7663,2399.6069,179496200,1525550500.0000,61308,0
000002.SH1,20130104,93300,2399.6544,2401.2734,2399.3829,2399.3829,157258800,1337584200.0000,50628,0
000002.SH1,20130104,93400,2399.8606,2401.0320,2399.8606,2400.5583,142436600,1177934000.0000,45853,0
000002.SH1,20130104,93500,2400.4142,2402.9629,2400.4142,2402.9629,133482000,1136337500.0000,44141,0
000002.SH1,20130104,93600,2402.5017,2403.7347,2401.9014,2402.6572,124324100,1131825300.0000,46807,0
000002.SH1,20130104,93700,2401.7808,2403.2351,2400.5470,2401.9284,134990000,1174173800.0000,49110,0
000002.SH1,20130104,93800,2400.1107,2401.7820,2398.7245,2400.0059,137891000,1119885000.0000,46573,0
000002.SH1,20130104,93900,2397.6270,2398.8110,2395.4030,2395.9075,128846800,1065004700.0000,44530,0
000002.SH1,20130104,94000,2395.5642,2395.5642,2393.0495,2393.1856,129807400,1068184600.0000,43269,0
000002.SH1,20130104,94100,2392.4550,2392.6037,2390.4413,2390.4413,111659700,930195800.0000,39849,0
000002.SH1,20130104,94200,2390.8970,2392.0441,2390.2982,2391.1642,97527800,839303200.0000,38157,0
000002.SH1,20130104,94300,2391.2145,2392.7393,2390.8559,2392.4457,98903000,838100300.0000,34710,0
000002.SH1,20130104,94400,2391.1303,2392.0745,2390.8268,2392.0745,83168500,727980600.0000,30174,0
000002.SH1,20130104,94500,2392.1347,2392.1347,2390.8614,2391.5067,76395900,684709900.0000,27852,0
000002.SH1,20130104,94600,2390.1704,2390.2532,2388.8790,2388.9704,83908700,730960800.0000,33327,0
000002.SH1,20130104,94700,2388.9316,2389.5752,2388.5877,2389.5752,93335600,733026500.0000,31744,0
000002.SH1,20130104,94800,2388.8375,2388.9040,2387.6750,2387.6750,77933700,674395800.0000,29623,0
000002.SH1,20130104,94900,2388.1234,2389.7083,2387.7101,2389.7083,75012500,635686200.0000,28961,0
000002.SH1,20130104,95000,2388.2644,2389.6006,2388.1626,2388.4618,74848900,644843600.0000,28662,0
000002.SH1,20130104,95100,2389.0944,2389.8042,2388.6588,2389.8042,77130500,648367000.0000,28429,0
000002.SH1,20130104,95200,2389.7880,2390.9042,2389.0949,2390.6910,84113100,659848000.0000,28159,0
000002.SH1,20130104,95300,2390.5681,2392.2874,2390.2658,2392.0729,80633600,701914300.0000,29175,0
000002.SH1,20130104,95400,2392.0128,2393.1073,2391.7448,2392.9679,88177500,734918800.0000,31383,0
