Code,Date,Time,Open,High,Low,Close,Volume,Turnover,MatchItems,Interest
000003.SH1,20130104,93000,246.6762,246.6762,246.6762,246.6762,702100,2859000.0000,255,0
000003.SH1,20130104,93100,247.1411,247.4238,246.8866,247.3942,941100,5020900.0000,502,0
000003.SH1,20130104,93200,247.3694,247.3694,247.0782,247.2698,398500,2153000.0000,202,0
000003.SH1,20130104,93300,247.2066,247.6491,247.1927,247.6253,1043400,4168100.0000,306,0
000003.SH1,20130104,93400,247.5116,247.6373,247.3908,247.3908,516100,2331100.0000,244,0
000003.SH1,20130104,93500,247.4254,247.4254,247.1557,247.1732,316900,1756300.0000,202,0
000003.SH1,20130104,93600,247.1641,247.3021,247.1511,247.2039,455100,3071000.0000,214,0
000003.SH1,20130104,93700,247.2204,247.3114,247.2029,247.2029,483300,2629200.0000,238,0
000003.SH1,20130104,93800,247.2157,247.3254,247.2131,247.2880,1056800,4558600.0000,254,0
000003.SH1,20130104,93900,247.2770,247.3748,247.1375,247.3052,742600,3216600.0000,281,0
000003.SH1,20130104,94000,247.2586,247.2696,246.9043,246.9043,765600,4364300.0000,337,0
000003.SH1,20130104,94100,246.9876,246.9876,246.7281,246.7404,877300,3755400.0000,318,0
000003.SH1,20130104,94200,246.6649,246.8160,246.6357,246.6357,548600,2655500.0000,267,0
000003.SH1,20130104,94300,246.5988,246.6358,246.5165,246.6149,503600,3261700.0000,211,0
000003.SH1,20130104,94400,246.5532,246.6649,246.4133,246.5561,818600,3943300.0000,252,0
000003.SH1,20130104,94500,246.5273,246.6036,246.4489,246.5430,507900,2574000.0000,233,0
000003.SH1,20130104,94600,246.5440,246.7071,246.5246,246.5408,859900,4382200.0000,316,0
000003.SH1,20130104,94700,246.5117,246.6112,246.1541,246.2014,660700,3375200.0000,274,0
000003.SH1,20130104,94800,246.2457,246.5045,246.1788,246.5035,552800,3273900.0000,273,0
000003.SH1,20130104,94900,246.4435,246.4677,246.2227,246.3969,435600,2452400.0000,208,0
000003.SH1,20130104,95000,246.4271,246.4885,246.1785,246.2198,690000,5239900.0000,284,0
000003.SH1,20130104,95100,246.2153,246.5418,246.2153,246.5418,464900,2940900.0000,224,0
000003.SH1,20130104,95200,246.5521,246.8087,246.4783,246.6717,694200,3496100.0000,207,0
000003.SH1,20130104,95300,246.6714,247.0499,246.6714,247.0499,686500,3531100.0000,249,0
000003.SH1,20130104,95400,247.0664,247.0664,246.9525,247.0249,374300,2730600.0000,217,0
000003.SH1,20130104,95500,247.0720,247.0834,246.9464,247.0834,413900,2384400.0000,215,0
000003.SH1,20130104,95600,247.0366,247.1281,247.0236,247.0784,376900,2182100.0000,191,0
000003.SH1,20130104,95700,247.0784,247.1606,247.0599,247.1567,307600,2285300.0000,185,0
000003.SH1,20130104,95800,247.1800,247.3177,247.1540,247.2806,728000,4603200.0000,335,0
000003.SH1,20130104,95900,247.2886,247.4192,247.2886,247.4192,633300,3232800.0000,179,0
000003.SH1,20130104,100000,247.4153,247.5182,247.3784,247.5182,433500,3537500.0000,224,0
000003.SH1,20130104,100100,247.6372,247.6372,247.4307,247.4757,724200,3768900.0000,249,0
000003.SH1,20130104,100200,247.5159,247.5398,247.3740,247.5398,378300,2136100.0000,190,0
000003.SH1,20130104,100300,247.5880,247.6017,247.4791,247.5124,421300,2367100.0000,233,0
000003.SH1,20130104,100400,247.5225,247.5635,247.4045,247.4050,512600,2078200.0000,191,0
000003.SH1,20130104,100500,247.4315,247.5878,247.4315,247.5394,641000,3121000.0000,242,0
000003.SH1,20130104,100600,247.5758,247.7213,247.5547,247.6919,761300,3328200.0000,217,0
000003.SH1,20130104,100700,247.6816,247.7501,247.6344,247.6443,621000,3137300.0000,191,0
000003.SH1,20130104,100800,247.7040,247.9242,247.6687,247.9242,1034500,6014000.0000,340,0
000003.SH1,20130104,100900,247.9051,248.2393,247.9051,248.1638,863200,6174300.0000,452,0
000003.SH1,20130104,101000,248.1338,248.2534,248.0350,248.1632,731500,3746600.0000,347,0
000003.SH1,20130104,101100,248.1559,248.2342,248.0919,248.0919,393100,2283100.0000,201,0
000003.SH1,20130104,101200,248.0545,248.2368,248.0545,248.2368,548500,4293100.0000,320,0
000003.SH1,20130104,101300,248.2205,248.2205,247.9850,248.1097,401000,2613900.0000,219,0
000003.SH1,20130104,101400,248.0916,248.1454,248.0021,248.0708,676000,3727400.0000,354,0
000003.SH1,20130104,101500,248.1987,248.1987,247.8414,247.8638,527200,2716300.0000,304,0
000003.SH1,20130104,101600,247.9490,248.0937,247.9033,247.9033,418900,2703000.0000,228,0
000003.SH1,20130104,101700,247.9384,247.9854,247.8590,247.9414,604500,4406400.0000,283,0
000003.SH1,20130104,101800,247.9314,248.0281,247.7363,247.9215,501000,2853300.0000,203,0
000003.SH1,20130104,101900,247.8745,247.9661,247.8333,247.8692,422300,1886100.0000,202,0
000003.SH1,20130104,102000,247.9003,248.0175,247.8016,248.0110,446400,2050100.0000,175,0
000003.SH1,20130104,102100,247.9647,248.0248,247.8633,247.9213,477600,2538500.0000,225,0
000003.SH1,20130104,102200,247.9133,247.9678,247.8263,247.8275,486900,2752100.0000,194,0
000003.SH1,20130104,102300,247.8121,247.9432,247.7796,247.8469,481400,2606600.0000,219,0
000003.SH1,20130104,102400,247.9292,247.9996,247.9292,247.9951,511900,3628800.0000,191,0
000003.SH1,20130104,102500,248.0125,248.0632,247.9882,248.0632,242800,1402000.0000,147,0
000003.SH1,20130104,102600,248.0828,248.0828,248.0094,248.0750,325300,1851100.0000,162,0
000003.SH1,20130104,102700,248.0532,248.2380,248.0532,248.2380,652800,3876600.0000,266,0
000003.SH1,20130104,102800,248.2327,248.3121,248.1768,248.2654,416700,2727200.0000,207,0
000003.SH1,20130104,102900,248.2465,248.2925,248.1387,248.2560,365200,2457000.0000,216,0
000003.SH1,20130104,103000,248.3104,248.3104,248.1500,248.2436,492000,3355200.0000,259,0
000003.SH1,20130104,103100,248.2501,248.2737,248.1823,248.1919,449400,3063200.0000,261,0
000003.SH1,20130104,103200,248.1717,248.1896,247.9900,247.9900,1033800,5333800.0000,354,0
000003.SH1,20130104,103300,247.9873,247.9873,247.6124,247.6124,1021700,6074000.0000,402,0
000003.SH1,20130104,103400,247.6644,247.6644,247.4180,247.4833,765900,4220300.0000,311,0
000003.SH1,20130104,103500,247.3480,247.4669,247.2417,247.4185,1085600,5159700.0000,386,0
000003.SH1,20130104,103600,247.4122,247.4777,247.2870,247.4497,610000,3116900.0000,242,0
000003.SH1,20130104,103700,247.3504,247.5834,247.3504,247.4552,420600,2732100.0000,223,0
000003.SH1,20130104,103800,247.4428,247.5418,247.4353,247.5412,628300,3843000.0000,276,0
000003.SH1,20130104,103900,247.5219,247.6836,247.4514,247.6836,389300,2531800.0000,229,0
000003.SH1,20130104,104000,247.6836,247.7770,247.6416,247.7527,391000,2520300.0000,194,0
000003.SH1,20130104,104100,247.6904,247.7645,247.6904,247.7108,431300,2814300.0000,185,0
000003.SH1,20130104,104200,247.7383,247.8323,247.6635,247.6635,347000,2293600.0000,171,0
000003.SH1,20130104,104300,247.6550,247.6802,247.5702,247.5881,380200,1840800.0000,185,0
000003.SH1,20130104,104400,247.4844,247.4844,247.3975,247.3975,524400,2541500.0000,162,0
000003.SH1,20130104,104500,247.4474,247.4599,247.3855,247.4593,538000,2655000.0000,177,0
000003.SH1,20130104,104600,247.4789,247.5065,247.3971,247.4970,456000,2227500.0000,165,0
000003.SH1,20130104,104700,247.5507,247.6367,247.3678,247.3678,303100,1690900.0000,148,0
000003.SH1,20130104,104800,247.3562,247.4972,247.3562,247.4972,215500,875500.0000,119,0
000003.SH1,20130104,104900,247.4631,247.5304,247.4542,247.5088,358600,2207200.0000,214,0
000003.SH1,20130104,105000,247.4813,247.5973,247.4638,247.5726,507400,2880400.0000,197,0
000003.SH1,20130104,105100,247.5567,247.5612,247.4924,247.5526,279500,2153600.0000,158,0
000003.SH1,20130104,105200,247.5281,247.5864,247.5167,247.5254,336300,1981000.0000,170,0
000003.SH1,20130104,105300,247.5004,247.5576,247.4875,247.5576,244000,1051700.0000,136,0
000003.SH1,20130104,105400,247.5394,247.6494,247.4999,247.6416,247600,1156400.0000,132,0
000003.SH1,20130104,105500,247.6643,247.6643,247.5728,247.5728,349700,1816800.0000,213,0
000003.SH1,20130104,105600,247.6327,247.6389,247.5045,247.5045,495400,2969600.0000,122,0
000003.SH1,20130104,105700,247.5011,247.5292,247.4218,247.4448,236600,2006800.0000,164,0
000003.SH1,20130104,105800,247.4401,247.4401,247.3564,247.3764,271200,1406600.0000,174,0
000003.SH1,20130104,105900,247.3835,247.3835,247.2909,247.3397,364400,2575700.0000,150,0
000003.SH1,20130104,110000,247.3464,247.4603,247.3381,247.3622,249200,2156000.0000,138,0
000003.SH1,20130104,110100,247.3962,247.4040,247.3621,247.3637,330300,1535500.0000,134,0
000003.SH1,20130104,110200,247.3596,247.4568,247.3170,247.3519,278500,1649400.0000,148,0
000003.SH1,20130104,110300,247.3519,247.5080,247.3044,247.4232,358900,1928100.0000,165,0
