Code,Date,Time,Open,High,Low,Close,Volume,Turnover,MatchItems,Interest
000005.SH1,20130104,93000,2417.1112,2417.1112,2417.1112,2417.1112,3253400,24575500.0000,0,0
000005.SH1,20130104,94000,2421.5099,2422.1122,2406.5225,2406.9132,38033900,311781000.0000,0,0
000005.SH1,20130104,95000,2406.3877,2406.3877,2395.3248,2396.0269,21116800,183924900.0000,0,0
000005.SH1,20130104,100000,2395.6840,2407.2108,2395.6840,2405.7237,20441900,181467000.0000,0,0
000005.SH1,20130104,101000,2405.4322,2406.5591,2397.6653,2397.6653,21031200,201320200.0000,0,0
000005.SH1,20130104,102000,2397.8011,2397.8011,2392.6909,2395.7086,21305100,175736400.0000,0,0
000005.SH1,20130104,103000,2395.8595,2398.6960,2393.7247,2396.3731,15552400,130493300.0000,0,0
000005.SH1,20130104,104000,2396.7304,2396.7304,2377.5471,2382.2721,23786000,201004600.0000,0,0
000005.SH1,20130104,105000,2382.3665,2384.1140,2378.7089,2382.8321,16419100,147881000.0000,0,0
000005.SH1,20130104,110000,2382.9213,2388.0823,2382.5895,2382.9012,12037900,128043300.0000,0,0
000005.SH1,20130104,111000,2382.8366,2383.2249,2377.7010,2377.7010,12502200,104059400.0000,0,0
000005.SH1,20130104,112000,2377.3279,2377.5118,2363.1000,2365.6147,19613000,160707800.0000,0,0
000005.SH1,20130104,113000,2366.7611,2372.9039,2365.5741,2372.1799,9075800,74599600.0000,0,0
000005.SH1,20130104,131000,2371.4389,2379.4035,2369.9841,2379.4035,11011800,94504400.0000,0,0
000005.SH1,20130104,132000,2379.3667,2379.6616,2375.7902,2376.9145,7817400,73175400.0000,0,0
000005.SH1,20130104,133000,2376.7020,2381.0742,2374.9210,2380.7666,9006300,82611300.0000,0,0
000005.SH1,20130104,134000,2380.8900,2386.3160,2379.9575,2386.3160,11427200,104018500.0000,0,0
000005.SH1,20130104,135000,2386.7588,2389.7500,2386.4738,2387.8300,11754200,122783900.0000,0,0
000005.SH1,20130104,140000,2387.6212,2389.4806,2386.9392,2388.8260,10643600,92616000.0000,0,0
000005.SH1,20130104,141000,2388.1376,2398.8341,2388.1376,2398.1275,14644400,138711800.0000,0,0
000005.SH1,20130104,142000,2398.1833,2405.4269,2396.1359,2405.4269,15677000,141993200.0000,0,0
000005.SH1,20130104,143000,2405.2691,2406.8781,2403.4193,2403.4193,18046700,165618000.0000,0,0
000005.SH1,20130104,144000,2403.0322,2403.3079,2392.2457,2395.4426,16015600,151341100.0000,0,0
000005.SH1,20130104,145000,2395.5610,2397.7422,2394.3250,2396.4597,14315100,117614300.0000,0,0
000005.SH1,20130104,150000,2396.1835,2396.3801,2391.8615,2392.9956,21800200,198717600.0000,0,0
